File; Clique; Time (sec)
Graphs/brock200_1.clq; 21; 7.81
Graphs/brock200_2.clq; 12; 0.404
Graphs/brock200_3.clq; 15; 0.603
Graphs/brock200_4.clq; 17; 1.314
Graphs/C125.9.clq; 34; 1.314
Graphs/gen200_p0.9_44.clq; 44; 15.264
Graphs/gen200_p0.9_55.clq; 55; 0.804
Graphs/hamming8-4.clq; 16; 1.122
Graphs/johnson16-2-4.clq; 8; 3.733
Graphs/johnson8-2-4.clq; 4; 0.028
Graphs/keller4.clq; 11; 0.358
Graphs/MANN_a27.clq; 126; 65.486
Graphs/MANN_a9.clq; 16; 0.049
Graphs/p_hat1000-1.clq; 10; 10.735
Graphs/p_hat1500-1.clq; 12; 51.162
Graphs/p_hat300-3.clq; 36; 20.1
Graphs/san1000.clq; 15; 11.764
Graphs/sanr200_0.9.clq; 42; 536.414
